page,country,rev_id,prediction
Jeferson Moreira,Brazil,765717347,No_Score
Giammarco Montanari,Italy,766101638,No_Score
Muhammad Abdul Haque,Bangladesh,768013050,No_Score
Rajat Majumdar,India,768871687,No_Score
Sheikh Zakaria Ansari,Iran,771213598,No_Score
Muhammad Yar Khan Mandokhail,Pakistan,771642775,No_Score
Walter Lee (Louisiana politician),United States,772176512,No_Score
Mark M. Noble,United States,772567736,No_Score
Isaura Gomes,Cape Verde,773323473,No_Score
Hari Bahadur Rai,Nepal,773355081,No_Score
Viviana Piñeiro,Uruguay,773601556,No_Score
Khaled Negm,Egypt,774023957,No_Score
Phil Hobson,United Kingdom,774293013,No_Score
John Palino,New Zealand,777163201,No_Score
Larry Holmes (activist),United States,778388481,No_Score
Debojeet Thaosen,India,778618827,No_Score
Jacek Maciej Wenderlich,Poland,779101752,No_Score
Mohamad Hamim Aliyas,Singapore,779135011,No_Score
Ina Ambolodto,Philippines,779409209,No_Score
José Ricardo Salazar,Venezuela,779899001,No_Score
Chaudhry Zafar Iqbal Warraich,Pakistan,779954797,No_Score
Rana Assad Amin,Pakistan,779957437,No_Score
Claudia Pastorino,Italy,781072934,No_Score
Jama Mohamud Takar,Somalia,781427254,No_Score
Batul Soltani,Iran,782170063,No_Score
Marcia Dangremon,Brazil,782508289,No_Score
Rose Sales,Brazil,783382630,No_Score
Met Bozi,Albania,784558743,No_Score
Mariano Lazcano,Spain,786721553,No_Score
Mian Fareed Abbas Kathia,Pakistan,787181453,No_Score
Nihal Naj Ali Al-Awlaqi,Yemen,787353922,No_Score
Abdolmajid Pirzadeh Jahromi,Iran,787391918,No_Score
Abdul Latif Khalid Cheema,Pakistan,787398581,No_Score
Abdurahman H. H. Osman 'Mallay',Somalia,787453368,No_Score
Thoraya Obaid,Saudi Arabia,788037971,No_Score
Rahul Sinha,India,788289620,No_Score
Mahesh Kumar,Pakistan,788310383,No_Score
Vithal Chavan,India,788722110,No_Score
Jaybahadur Hitan Magar,Nepal,788844423,No_Score
Amirreza Amirbakhtiar,Iran,788884593,No_Score
Fernando Linera,Spain,789080627,No_Score
Andrés Ycaza Mantilla,Ecuador,789150159,No_Score
Carlo Pezzati,Italy,789262504,No_Score
Patrick Binder,France,789266166,No_Score
Harald Haas (Pirate Party),Austria,789271422,No_Score
Zhang Yuhuan,China,789281061,No_Score
Saqib Idrees Taj,Pakistan,789285351,No_Score
Hameeda Waheeduddin,Pakistan,789285762,No_Score
Zheng Shekui,China,789286413,No_Score
Prasanna Earnest,India,789444415,No_Score
Chowdhary Balbir Singh,India,789736824,No_Score
Arthur C. Watson,United States,789816636,No_Score
Farouk Sharif,Philippines,790028876,No_Score
Idoia Zenarrutzabeitia Beldarrain,Spain,790147995,No_Score
Hrayr Karapetyan,Armenia,790410710,No_Score
Bill Evans (politician),United States,791429003,No_Score
Claybourn – Claiborne – Clayborn family,United States,791866288,No_Score
N. Padmalochanan,India,792184018,No_Score
Marko Selakovic,Serbia,792400552,No_Score
Praveen Agrawal,India,792440851,No_Score
Caleb Crosby,United States,792857662,No_Score
Draft:John Johansson i Gränö,Sweden,792933603,No_Score
Tibor Gaal de Hatvan,Hungary,793280504,No_Score
Chukwuemeka Ihedioha,Nigeria,794311724,No_Score
Gregorei Alexandrovich,Russia,794409906,No_Score
Josh Miller (politician),United States,794768894,No_Score
List of Ghana heads of state by age,Ghana,794866848,No_Score
Alfred Moungara Moussotsi,Gabon,794990759,No_Score
Hari Bhakta Kandel,Nepal,795545202,No_Score
Fraz Wahlah,Pakistan,795588781,No_Score
Hovik Jivanyan,Armenia,796744496,No_Score
Stanford Morse,United States,796758810,No_Score
Dan Hilton,Canada,797311794,No_Score
Volodymyr Manzhosov,Ukraine,797902544,No_Score
